time,icao,operation,airport,registration,flight,ac_type,ac_size,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,latitude,longitude,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
1/1/2025 0:02,7501fd,landing,WMKJ,9M-AHZ,AXM6027,A320,medium,,https://globe.adsbexchange.com/?icao=7501fd&zoom=13.5&showTrace=2025-01-01&timestamp=1735689741,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 0:08,750465,takeoff,WMKK,9M-AGS,AXM520,A20N,medium,,https://globe.adsbexchange.com/?icao=750465&zoom=13.5&showTrace=2025-01-01&timestamp=1735690081,2176,adsb_icao,A3,,,Airbus A320-251N,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:12,750502,takeoff,WMKK,9M-KXB,KXP2611,B738,medium,,https://globe.adsbexchange.com/?icao=750502&zoom=13.5&showTrace=2025-01-01&timestamp=1735690340,2166,adsb_icao,A3,,,,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:13,7502ad,takeoff,WMKP,9M-AQN,,A320,medium,4,https://globe.adsbexchange.com/?icao=7502ad&zoom=13.5&showTrace=2025-01-01&timestamp=1735690405,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:15,750543,takeoff,WMKK,9M-XBH,XAX664,A333,big,,https://globe.adsbexchange.com/?icao=750543&zoom=13.5&showTrace=2025-01-01&timestamp=1735690515,2127,adsb_icao,A5,,,,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:17,8a04ae,takeoff,WMKK,PK-LBK,MXD310,B738,medium,,https://globe.adsbexchange.com/?icao=8a04ae&zoom=13.5&showTrace=2025-01-01&timestamp=1735690672,2115,adsb_icao,A0,,,Boeing 737-8GP,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:17,750440,takeoff,WMKP,9M-AGG,AXM6123,A20N,medium,,https://globe.adsbexchange.com/?icao=750440&zoom=13.5&showTrace=2025-01-01&timestamp=1735690677,,adsb_icao,A3,,,Airbus A320-251N,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:21,780aca,takeoff,WMKK,B-5751,CXA824,B738,medium,,https://globe.adsbexchange.com/?icao=780aca&zoom=13.5&showTrace=2025-01-01&timestamp=1735690889,2130,adsb_icao,A3,,,Boeing 737-85C,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:24,7504d0,takeoff,WMKJ,9M-RAU,AXM6082,A320,medium,34,https://globe.adsbexchange.com/?icao=7504d0&zoom=13.5&showTrace=2025-01-01&timestamp=1735691058,,adsb_icao,A3,,,,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 0:24,75002c,landing,WMKP,9M-AHL,,A320,medium,4,https://globe.adsbexchange.com/?icao=75002c&zoom=13.5&showTrace=2025-01-01&timestamp=1735691081,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
